addr,time,in_mean_inter_time,in_std_inter_time,in_mad_inter_time,out_mean_inter_time,out_std_inter_time,out_mad_inter_time,tot_mean_inter_time,tot_std_inter_time,tot_mad_inter_time,in_mean_length,in_std_length,in_mad_length,in_count,out_mean_length,out_std_length,out_mad_length,out_count,tot_mean_length,tot_std_length,tot_mad_length,tot_count,in_mean_payload_data_length,in_std_payload_data_length,in_mad_payload_data_length,out_mean_payload_data_length,out_std_payload_data_length,out_mad_payload_data_length,tot_mean_payload_data_length,tot_std_payload_data_length,tot_mad_payload_data_length
3,130.0,,,,,,,,,,,,,0.0,59.0,0.0,0.0,1.0,59.0,0.0,0.0,1.0,,,,14.0,0.0,0.0,14.0,0.0,0.0
0,135.0,0.077789,0.0389315,0.0131435,0.0627984,0.0347667,0.021829,0.036591,0.0157732,0.0126085,51.0,3.7,5.0,5.0,47.8,3.3,1.5,6.0,49.3,3.9,5.0,11.0,9.4,4.4,5.0,10.8,3.3,1.5,9.4,4.4,5.0
3,140.0,,,,0.335501,0.299668,0.299668,0.241691,0.2783306,0.018238,51.0,0.0,0.0,1.0,52.3,2.1,2.0,3.0,52.0,1.9,1.0,4.0,11.0,5.2,1.0,10.0,5.7,2.0,11.0,5.2,1.0
0,140.0,0.335501,0.299668,0.299668,,,,0.241691,0.2783306,0.018238,52.3,2.1,2.0,3.0,51.0,0.0,0.0,1.0,52.0,1.9,1.0,4.0,11.0,5.2,1.0,14.0,0.0,0.0,11.0,5.2,1.0
8,140.0,0.209332,0.0,0.0,,,,0.209332,0.0,0.0,59.0,0.0,0.0,2.0,,,,0.0,59.0,0.0,0.0,2.0,14.0,0.0,0.0,,,,14.0,0.0,0.0
7,140.0,,,,,,,,,,,,,0.0,59.0,0.0,0.0,1.0,59.0,0.0,0.0,1.0,,,,14.0,0.0,0.0,14.0,0.0,0.0
8,145.0,1.464511,0.844116,0.844116,,,,1.464511,0.844116,0.844116,59.0,0.0,0.0,3.0,,,,0.0,59.0,0.0,0.0,3.0,14.0,0.0,0.0,,,,14.0,0.0,0.0
6,145.0,,,,2.417021,0.0,0.0,1.2185235,1.1984975,1.1984975,45.0,0.0,0.0,1.0,56.0,3.0,3.0,2.0,52.3,5.7,6.0,3.0,12.7,3.4,2.0,15.0,1.0,1.0,12.7,3.4,2.0
3,145.0,,,,,,,,,,,,,0.0,59.0,0.0,0.0,1.0,59.0,0.0,0.0,1.0,,,,14.0,0.0,0.0,14.0,0.0,0.0
0,145.0,,,,0.491975,0.0,0.0,0.2560005,0.2359745,0.2359745,53.0,0.0,0.0,1.0,52.0,7.0,7.0,2.0,52.3,5.7,6.0,3.0,12.7,3.4,2.0,11.0,3.0,3.0,12.7,3.4,2.0
0,150.0,0.0482073,0.0073773,0.00599,0.0597866,0.0361523,0.032767,0.0269694,0.0124822,0.007336,52.2,3.4,1.0,8.0,47.5,2.8,1.5,6.0,50.2,3.9,5.0,14.0,8.6,4.9,5.0,10.5,2.8,1.5,8.6,4.9,5.0
6,155.0,0.056087,0.0,0.0,3.017736,0.0,0.0,1.0122277,1.3918664,0.018193,46.5,1.5,1.5,2.0,51.5,1.5,1.5,2.0,49.0,2.9,2.5,4.0,12.0,2.9,2.5,14.5,1.5,1.5,12.0,2.9,2.5
0,155.0,0.7467706,1.1516701,0.037586,0.9226975,1.4963623,0.043045,0.37528,0.8813995,0.020114,51.3,3.5,2.5,6.0,47.2,1.9,2.0,5.0,49.5,3.6,3.0,11.0,9.5,4.3,3.0,10.2,1.9,2.0,9.5,4.3,3.0
7,155.0,0.060384,0.043045,0.043045,0.0467075,0.0200783,0.013491,0.0291931,0.0139345,0.00812,47.7,2.1,2.0,3.0,52.8,4.8,4.0,5.0,50.9,4.7,5.0,8.0,8.9,4.5,3.5,7.8,5.2,6.0,8.9,4.5,3.5
8,155.0,,,,,,,,,,59.0,0.0,0.0,1.0,,,,0.0,59.0,0.0,0.0,1.0,14.0,0.0,0.0,,,,14.0,0.0,0.0
8,160.0,2.074096,0.0,0.0,,,,2.074096,0.0,0.0,59.0,0.0,0.0,2.0,,,,0.0,59.0,0.0,0.0,2.0,14.0,0.0,0.0,,,,14.0,0.0,0.0
3,160.0,,,,,,,,,,,,,0.0,59.0,0.0,0.0,1.0,59.0,0.0,0.0,1.0,,,,14.0,0.0,0.0,14.0,0.0,0.0
6,160.0,0.024215,0.0113138,0.011142,,,,0.024215,0.0113138,0.011142,49.0,4.1,3.5,4.0,,,,0.0,49.0,4.1,3.5,4.0,12.0,4.1,3.5,,,,12.0,4.1,3.5
0,160.0,,,,0.024215,0.0113138,0.011142,0.024215,0.0113138,0.011142,,,,0.0,49.0,4.1,3.5,4.0,49.0,4.1,3.5,4.0,,,,12.0,4.1,3.5,12.0,4.1,3.5
8,165.0,,,,,,,,,,59.0,0.0,0.0,1.0,,,,0.0,59.0,0.0,0.0,1.0,14.0,0.0,0.0,,,,14.0,0.0,0.0
0,165.0,,,,,,,,,,,,,0.0,59.0,0.0,0.0,1.0,59.0,0.0,0.0,1.0,,,,14.0,0.0,0.0,14.0,0.0,0.0
